Год	Месяц	КодНоменклатурнойКатегории	НоменклатурнаяКатегория	Номенклатура	ПроданоКг	ПроданоРубБезНДС	ЛекаркаИлиСпеции
2 023	1	(#М0000000458#)	Алтей корень чищенный (#М0000000458#)	Алтея корень очищенный, меш. 15кг (Россия) НТ	11,65	2 563	Лекарка
2 023	1	(#М0000000238#)	Апельсин корка 5x5 мм Китай (#М0000000238#)	Апельсин кожура (сушеная) (5х5 мм), меш. 25кг (Китай) НТ	3 875,5	1 135 553,75	Лекарка
2 023	1	(#М0000001817#)	Арника цветки (#М0000001817#)	Арника горная цветки (сушеные), меш. 5кг (Польша) НТ	248,3	7 978 731,27	Лекарка
2 023	1	(#М0000000460#)	Багульник (#М0000000460#)	Багульника побег, меш. 4кг (Россия) НТ	48	6 047,03	Лекарка
2 023	1	(#М0000000726#)	Береза лист Польша (#М0000000726#)	Береза лист (сушеный), тюк 43кг (Польша) НТ	528,8	109 063,34	Лекарка
2 023	1	(#М0000000461#)	Береза лист Россия (#М0000000461#)	Березы лист измельченный, меш. 9кг (Россия) НТ	117	24 123,75	Лекарка
2 023	1	(#М0000000462#)	Березовая почка (#М0000000462#)	Березовые почки, меш. 25кг (Польша) НТ	126,1	206 281,12	Лекарка
2 023	1	(#М0000000463#)	Бессмертник цветки (#М0000000463#)	Бессмертник цветки (сушеные), меш. 8 кг (Грузия) НТ	232	149 573,33	Лекарка
2 023	1	(#М0000000463#)	Бессмертник цветки (#М0000000463#)	Бессмертник цветки (сушеные), меш.12 кг (Грузия) НТ	48	30 775,1	Лекарка
2 023	1	(#М0000000789#)	Боярышник плоды  (#М0000000789#)	Боярышник плоды, меш. 35кг (Россия) НТ	280	56 462,87	Лекарка
2 023	1	(#М0000000464#)	Боярышник плоды красные Россия (#М0000000464#)	Боярышник плоды (кроваво-красный), меш. 40кг (Россия) НТ	80	17 600	Лекарка
2 023	1	(#М0000000465#)	Боярышник цветки (#М0000000465#)	Боярышник цветки, меш. 11кг (Россия) НТ	11	2 603,33	Лекарка
2 023	1	(#М0000000465#)	Боярышник цветки (#М0000000465#)	Боярышник цветки, меш. 13кг (Россия) НТ	13	3 076,67	Лекарка
2 023	1	(#М0000000466#)	Брусника лист (#М0000000466#)	Брусника лист (сушеный), меш. 15кг (Беларусь) НТ	15	6 162,87	Лекарка
2 023	1	(#М0000000466#)	Брусника лист (#М0000000466#)	Брусники лист, меш. 15 кг (Беларусь)	945	360 264,87	Лекарка
2 023	1	(#М0000000672#)	Бузина цветки, меш. (Польша)  (#М0000000672#)	Бузина цветки (сушеные) (тёртые), меш. 15кг (Польша) НТ	675	630 225	Лекарка
2 023	1	(#М0000000467#)	Валерианы корень резаный (#М0000000467#)	Валериана корень (сушеный) резаный, меш. 20 кг (Польша) НТ	20	17 164,17	Лекарка
2 023	1	(#М0000000468#)	Валерианы корень целый (#М0000000468#)	Валерианы корень цельный, меш. 15 кг (Польша) НТ	15	13 050	Лекарка
2 023	1	(#М0000000469#)	Василек лепестки (#М0000000469#)	Василек лепестки (сушеные), тюк 20кг (Польша) НТ	179,8	285 006,67	Лекарка
2 023	1	(#М0000000469#)	Василек лепестки (#М0000000469#)	Василек лепесток, меш. 20кг (Польша) НТ	20	28 760,5	Лекарка
2 023	1	(#М0000000931#)	Гибискус цветки 5-9 мм (#М0000000931#)	Гибискус цветки (сушеные) (резаные) (5-9 мм), меш. 30кг (Нигерия) НТ	2 720	982 033,33	Лекарка
2 023	1	(#М0000000471#)	Гибискус цветки цельные Египет (#М0000000471#)	Гибискус цветки целый, меш. 25кг (Египет)	1 325	435 301,05	Лекарка
2 023	1	(#М0000000471#)	Гибискус цветки цельные Египет (#М0000000471#)	Гибискус цветки целый, меш. 25кг (Египет) НТ	225	69 041,25	Лекарка
2 023	1	(#М0000001008#)	Гибискус цветки цельные Нигерия (#М0000001008#)	Гибискус цветки целый, меш. 20кг (Нигерия) НТ	20	2 711,5	Лекарка
2 023	1	(#М0000000472#)	Гинкго билоба (#М0000000472#)	Гинкго билоба лист, тюк 50 кг (Китай) НТ	403,7	146 342,19	Лекарка
2 023	1	(#М0000000475#)	Девясил корень (#М0000000475#)	Девясил корень, меш. 17кг (Россия) НТ	34	7 877,09	Лекарка
2 023	1	(#М0000000475#)	Девясил корень (#М0000000475#)	Девясил корень, меш. 20кг (Россия) НТ	20	4 733,33	Лекарка
2 023	1	(#М0000000475#)	Девясил корень (#М0000000475#)	Девясил корень, меш. 21кг (Россия) НТ	592,4	128 353,33	Лекарка
2 023	1	(#М0000000578#)	Донник трава (#М0000000578#)	Донник трава резаная, меш. 12кг (Россия) НТ	48	6 381,6	Лекарка
2 023	1	(#М0000000578#)	Донник трава (#М0000000578#)	Донник трава резаная, меш. 13кг (Россия) НТ	13	1 765,62	Лекарка
